MTurkCode,goal_order,goals,content,content-other,healthy,weight control,body composition/shape,diet,specific diet type,exercise,specific exercise type,specific weight lost,specific time /frequency,other health 
A1CI5U3BLQ2DDS,5,I plan to do therapy exercises twice a week.,physical health,,,,,,,3,,,,
A302KOFOYLD89A,1,To successfully get both shots of the coronavirus vaccine within the next six months.,physical health,,,,,,,,,,,3
A302KOFOYLD89A,2,To earn one thousand dollars a month of income doing side work on sites like Mturk.,finance,,,,,,,,,,,
A302KOFOYLD89A,3,"To completely avoid eating any gluten in my diet, or at least under 20 PPM of gluten for every meal for the next six month",physical health,,,,,1,,,,,,
A3GI28OVLDI9ST,1,Finish and sell my van conversion in two months,finance,,,,,,,,,,,
A3GI28OVLDI9ST,2,lose 15 pounds in three months,physical health,,,1,,,,,,1,,
A3GI28OVLDI9ST,3,Make improvements to my home and get read to rent it out in five months,house work,,,,,,,,,,,
A3GI28OVLDI9ST,4,buy another home in six months,finance,,,,,,,,,,,
A3GI28OVLDI9ST,5,find a new girlfriend within three months,social/relationship,,,,,,,,,,,
A3PSV85ZUXP9VF,1,"My goal, over the next year, is to naturally bring down my sugar and cholesterol through diet and exercise alone.",,,,,,1,,1,,,,
A3PSV85ZUXP9VF,2,I want to purchase a new vehicle for my family within the next couple of months.,finance,,,,,,,,,,,
A3PSV85ZUXP9VF,3,I want to pay off all credit card debt before the Christmas season begins.,finance,,,,,,,,,,,
A2ZGAH6NOSU2PO,1,My goal is to get up to walking 5 miles each week in 3 months,physical health,,,,,,,1,,,,
A2ZGAH6NOSU2PO,2,My goal is save 500 dollars in my account in 3 months.,finance,,,,,,,,,,,
A2ZGAH6NOSU2PO,3,My goal is to increase my drinking of water from none to 64 ounces in 3 month.,physical health,,,,,,,,,,,1
A2ZGAH6NOSU2PO,4,My goal is to read half of the bible in 3 months.,religion,,,,,,,,,,,
A2ZGAH6NOSU2PO,5,My goal is to have my gardening spots in my yard complete in 3 months.,house work,,,,,,,,,,,
A30FIPRPFQRBO6,1,My goal is to lose 30 pounds in the next 3 months,physical health,,,1,,,,,,1,,
A30FIPRPFQRBO6,2,My goal is to exercise 3x /week,physical health,,,,,,,1,,,,
A30FIPRPFQRBO6,3,My goal is to increase my credit score,finance,,,,,,,,,,,
AKMOBFEEKW378,1,Drink 64 oz water every day,physical health,,,,,,,,,,,1
AKMOBFEEKW378,2,Exercise 5 times a week ,physical health,,,,,,,1,,,,
AKMOBFEEKW378,3,Write at least 5 hours a week ,leisure,,,,,,,,,,,
AKMOBFEEKW378,4,Pay off credit card ,finance,,,,,,,,,,,
AKMOBFEEKW378,5,Save money for new kitchen and living room floor ,finance,,,,,,,,,,,
A18SXC3JEN1O0U,1,I want to get more exercise.,physical health,,,,,,,1,,,,
A18SXC3JEN1O0U,2,I want to eat healthier.,physical health,,1,,,1,,,,,,
A198MSVO1VTAT5,1,finish painting my office,house work,,,,,,,,,,,
A198MSVO1VTAT5,2,finish painting the white trim on the exterior of my house,house work,,,,,,,,,,,
A198MSVO1VTAT5,3,pay off $1000 of debt in 3 months,finance,,,,,,,,,,,
A198MSVO1VTAT5,4,hang drywall and paint in laundry room ceiling,house work,,,,,,,,,,,
A1MJWY7UO3CDSM,1,My goal is to buy a house in the next 6 months.,finance,,,,,,,,,,,
A1MJWY7UO3CDSM,2,My goal is to lose 20 pounds in the next two months.,physical health,,,1,,,,1,,,,
A2CP6MLJVJYBO7,1,My goal is to earn at least $15 every day on MTurk.,finance,,,,,,,,,,,
A2CP6MLJVJYBO7,2,My goal is to save at least $20 every month. ,finance,,,,,,,,,,,
AQMLJYUQCSG22,1,My goal is to lose 15 pounds. I think it'll take about 2 months,physical health,,,1,,,,1,,,,
AQMLJYUQCSG22,2,My goal is to take a trip outside the U.S. I think it'll take 3 months. ,leisure,,,,,,,,,,,
AQMLJYUQCSG22,3,My goal is to buy a new computer. I think it'll take a month. ,finance,,,,,,,,,,,
A6JUD4NCQCDWG,1,My goal is to save enough by the end of the year to pay off all of my bills,finance,,,,,,,,,,,
A6JUD4NCQCDWG,2,My goal is to take a vacation in the summer.,leisure,,,,,,,,,,,
A2HQMB1GSEADL,1,Find a fence contractor and complete the fencing at rental house before end of May..,house work,,,,,,,,,,,
A2HQMB1GSEADL,2,Earn an average of $20/week at Mechanical Turk.,finance,,,,,,,,,,,
A2HQMB1GSEADL,3,Bring my weight down to 125 pounds by end of May.,physical health,,,1,,,,1,,,,
A2HQMB1GSEADL,4,"In May, return to watercolor class and practice an additional day each week.",skill development,,,,,,,,,,,
A2HQMB1GSEADL,5,"Read at least 3 books in April, May and June. ",leisure,,,,,,,,,,,
A1WS9UHL45VZ0X,1,To get nothing lower than an A- for spring quarter which ends in three months. ,academic/school,,,,,,,,,,,
A1WS9UHL45VZ0X,2,To eat a serving of fruits and vegetables every day.,physical health,,,,,1,,,,,,
A1WS9UHL45VZ0X,3,To get 60 minutes of exercise every day.,physical health,,,,,,,1,,,,
AADRZTXSE7211,1,I want to make at least an extra $75 a week to help address loss of income due to COVID.,finance,,,,,,,,,,,
AADRZTXSE7211,2,I want to lose 10 pounds in the next three months.,physical health,,,1,,,,,,1,,
AADRZTXSE7211,3,I want to have at least 30 minutes of vigorous activity at least 4 times a week.,physical health,,,,,,,1,,,,
AADRZTXSE7211,4,"I want to get rid of at least 5 items of unwanted items in the house (trash, recycle, or donate).",house work,,,,,,,,,,,
A1ABL45KAK12A5,1,Earn more money on the stock market,finance,,,,,,,,,,,
A1ABL45KAK12A5,2,Buy more bitcoin,finance,,,,,,,,,,,
A1ABL45KAK12A5,3,walk 30 minutes per day,physical health,,,,,,,1,,,,
A1ABL45KAK12A5,4,Get a better paying job,work/career development,,,,,,,,,,,
A1ABL45KAK12A5,5,save 10% of my earnings ,finance,,,,,,,,,,,
A2W0G89O7E9EFO,1,I would like to pursue a teaching job at a campus close to my home before the 2021/2022 semester.,work/career development,,,,,,,,,,,
A2W0G89O7E9EFO,2,I would like to save at least $300 more dollars in my brokerage account by then end of three months.,finance,,,,,,,,,,,
A2W0G89O7E9EFO,3,"I would like to save for an purchase necessary backpacking and camping gear by the beginning of July 1, 2021. ",finance,,,,,,,,,,,
A2W0G89O7E9EFO,4,"I would like to save for and take a major vacation in July, preferable to an outdoor location.  ",finance,,,,,,,,,,,
A2W0G89O7E9EFO,5,I would like to scan and digitalize all of my physical photographs in order to preserve them and do this by the end of summer 2021. ,leisure,,,,,,,,,,,
A38DHLB88V8DL8,1,My goal is to exercise at least two times each week.,physical health,,,,,,,,,,,
A38DHLB88V8DL8,2,My goal is to lose 15 pounds in the next three months.,physical health,,,,,,,,,,,
A38DHLB88V8DL8,3,My goals is to save $250 each month.,finance,,,,,,,,,,,
A38DHLB88V8DL8,4,My goal is to eat more fruits and vegetables each week.,physical health,,,,,,,,,,,
A1WJYF201K77BI,1,My goal is to save $200 per month.,finance,,,,,,,,,,,
A1WJYF201K77BI,2,My goal is to run twice a week.,physical health,,,,,,,,,,,
A1WJYF201K77BI,3,My goal is to write at least once a week.,leisure,,,,,,,,,,,
A1WJYF201K77BI,4,My goal is to post on my bucket list Instagram at least four times a week.,leisure,,,,,,,,,,,
A1WJYF201K77BI,5,My goal is to lift weights five times a week.,physical health,,,,,,,,,,,
AF0W4ZBY7VXOU,1,My goal is to make time for art and to create every day,leisure,,,,,,,,,,,
AF0W4ZBY7VXOU,2,My goal is to have an Etsy store open in three months,work/career development,,,,,,,,,,,
AF0W4ZBY7VXOU,3,My goal is to meditate every day to reduce my stress,mental health,,,,,,,,,,,
A2H6Q22X1V1FTX,1,I would like to attempt to write a novel in a new narrative style that is new to me and differs from previous works. ,leisure,,,,,,,,,,,
A2H6Q22X1V1FTX,2,I would like to make preparations before May 15th for a possible disruption in the supply chain.  ,other,,,,,,,,,,,
A2H6Q22X1V1FTX,3,I would like to sort and remove all traces of toddler and baby items in my home as my children are all older now. I would also like to redecorate my home to coincide with having older children.,house work,,,,,,,,,,,
ANZNAAS2K0DSY,1,add at least $2000 to IRA account,finance,,,,,,,,,,,
ANZNAAS2K0DSY,2,get Covid 19 vaccine asap,physical health,,,,,,,,,,,
ANZNAAS2K0DSY,3,finish reading the Legends of the Dragonrealm series ,leisure,,,,,,,,,,,
A2WZ8ZEB00LYF7,1,Lose weight. I need to lose weight to feel better about myself.,physical health,,,,,,,,,,,
A2WZ8ZEB00LYF7,2,Get a job. I need a job to get more money.,work/career development,,,,,,,,,,,
A321WQIFK10UV3,1,My goal is to make a total per month of $400.00 from my part time job in the next 6 months.,work/career development,,,,,,,,,,,
A321WQIFK10UV3,2,My goal is to do stretching exercises on a daily basis (everyday).,physical health,,,,,,,,,,,
A321WQIFK10UV3,3,My goal is to get my home organized within the next 3 months.,house work,,,,,,,,,,,
A18JNQE5GZQIX5,1,My goal is to save $1500 a month. ,finance,,,,,,,,,,,
A18JNQE5GZQIX5,2,My goal is to exercise every day. ,physical health,,,,,,,,,,,
A18JNQE5GZQIX5,3,My goal is to make $1000 on MTurk per month. ,finance,,,,,,,,,,,
AXF0OX50YZQC6,1,My goal is to quit drinking sodas everyday,physical health,,,,,,,,,,,
AXF0OX50YZQC6,2,My goal is lose 20 pounds in three months,physical health,,,,,,,,,,,
AXF0OX50YZQC6,3,My goal is to eat healthier everyday,physical health,,,,,,,,,,,
AXF0OX50YZQC6,4,My goal is to maintain an A average this semester,academic/school,,,,,,,,,,,
AXF0OX50YZQC6,5,My goal is to drink more water everyday,physical health,,,,,,,,,,,
A2VGEE0ZIZ8CBQ,1,My goal is to exercise four times a week for at least an hour.,physical health,,,,,,,,,,,
A2VGEE0ZIZ8CBQ,2,"My goal is to put at least 10,000 dollars a year into my retirement account",finance,,,,,,,,,,,
A2VGEE0ZIZ8CBQ,3,My goal is eat healthier this year. ,physical health,,,,,,,,,,,
ADYMIMV1PE14V,1,Quit Smoking this year,physical health,,,,,,,,,,,
ADYMIMV1PE14V,2,Save 100 dollars a week for emergencies,finance,,,,,,,,,,,
ADYMIMV1PE14V,3,Remodel my bathroom by June 30th 2021,house work,,,,,,,,,,,
A1RWNYJA5X25YH,1,My goal is to exercise at least once a week.,physical health,,,,,,,,,,,
A1RWNYJA5X25YH,2,My goal is to start finishing up projects left undone on the house in the next month.,house work,,,,,,,,,,,
A1RWNYJA5X25YH,3,My goal is to see my grandchildren at least once a week.,family,,,,,,,,,,,
A1RWNYJA5X25YH,4,My goal is to lose at least 5 pounds before summer.,physical health,,,,,,,,,,,
A1RWNYJA5X25YH,5,My goal is to spend less than I do now on groceries for the month.,finance,,,,,,,,,,,
A3UUH3632AI3ZX,1,Get straight As in school,academic/school,,,,,,,,,,,
A34VLM2UC0JY11,1,My goal is to receive the COVID-19 vaccine within two months,physical health,,,,,,,,,,,
A34VLM2UC0JY11,2,My goal is to get adjusted back into my old routine of working and having an active social life within the next six months,mental health,,,,,,,,,,,
ASY5W2HJPIPF4,1,My goal is to save $400 for the Strixhaven release of Magic: The Gathering in the next 4 weeks.,finance,,,,,,,,,,,
ASY5W2HJPIPF4,2,My goal is to lose 12 lbs in the next three months.,physical health,,,,,,,,,,,
A2SFFO79KSG5VA,1,My goal is to lose 17 pounds within the next three months.,physical health,,,,,,,,,,,
A2SFFO79KSG5VA,2,My goal is to read one act of a Shakespeare play each day.,leisure,,,,,,,,,,,
A2SFFO79KSG5VA,3,My goal is to write two pages of prose each day.,leisure,,,,,,,,,,,
A2SFFO79KSG5VA,4,My goal is to create and maintain a shopping/meal plan over the next three months.,other,,,,,,,,,,,
A2SFFO79KSG5VA,5,"My goal is to be fully prepared for my friend's wedding, in which I'm the best man (so write speech, plan bachelor party) etc by the end of the next three months.",other,wedding,,,,,,,,,,
A1T83SZBP2DN65,1,I want to move out of my apartment and into a home.,other,moving,,,,,,,,,,
A1T83SZBP2DN65,2,I want to finish my novel.,leisure,,,,,,,,,,,
AVKMFV9CZ0MLR,1,"My goal is to complete twenty sit ups in a row, unassisted.",physical health,,,,,,,,,,,
AVKMFV9CZ0MLR,2,"My goal is to complete twenty squats in a row, unassisted.",physical health,,,,,,,,,,,
AVKMFV9CZ0MLR,3,My goal is to complete five minutes of intense peddling on a riding device.,physical health,,,,,,,,,,,
AVKMFV9CZ0MLR,4,My goal is to complete five minutes of intense rowing on a rowing device.,physical health,,,,,,,,,,,
AVKMFV9CZ0MLR,5,My goal is to complete 90 intense body twists on a seated device.,physical health,,,,,,,,,,,
A3OAXRZT3MVJML,1,Pay off credit card debt in the next 2 years,finance,,,,,,,,,,,
A3OAXRZT3MVJML,2,Complete some home repairs in the next 6 months,house work,,,,,,,,,,,
A3OAXRZT3MVJML,3,Lose 10 to 20 pounds in the next 6 months,physical health,,,,,,,,,,,
A5E2P5F1AXYZ1,1,My goal is to build up my savings account by saving around $100 every week.,finance,,,,,,,,,,,
A5E2P5F1AXYZ1,2,I want to achieve a goal of exercising for 30 minutes or more every day.,physical health,,,,,,,,,,,
A5E2P5F1AXYZ1,3,I want to lower my credit card debt by 50% by the end of 2021.,finance,,,,,,,,,,,
A5E2P5F1AXYZ1,4,I want to invest in more dividend or growth stocks in my IRA before the end of 2021 to diversify more.,finance,,,,,,,,,,,
A5E2P5F1AXYZ1,5,I want to lower my BMI by ten percent by the end of 2021.,physical health,,,,,,,,,,,
A3GZXU4FUJTKZD,1,"I want to finish paying my daughter's high school tuition by April 15, 2021. ",finance,,,,,,,,,,,
A3GZXU4FUJTKZD,2,"I want to visit my mother out of state, leaving her on or about June 1st.",family,,,,,,,,,,,
A3GZXU4FUJTKZD,3,I want to sell off the contents of my storage unit by May 1st.,house work,,,,,,,,,,,
A3GZXU4FUJTKZD,4,I want to buy five more ounces of silver by May 30th.,finance,,,,,,,,,,,
A3GZXU4FUJTKZD,5,I want to paint my dining room by May 1st.,house work,,,,,,,,,,,
A13O22EMG5ZVN0,1,dream job,work/career development,,,,,,,,,,,
A13O22EMG5ZVN0,2,find love,social/relationship,,,,,,,,,,,
A13O22EMG5ZVN0,3,take care of family,family,,,,,,,,,,,
A207IHY6GERCFO,1,My goal is to increase my wealth over the next three months,finance,,,,,,,,,,,
A207IHY6GERCFO,2,My goal is to get a girlfriend within the next three months,social/relationship,,,,,,,,,,,
A207IHY6GERCFO,3,My goal is to improve my upper body strength over the next three months,physical health,,,,,,,,,,,
A225BMTMXUR5F4,1,Finish Reading the Bible for my first time through,religion,,,,,,,,,,,
A225BMTMXUR5F4,2,Start re-reading the Bible in conjunction with a study Bible,religion,,,,,,,,,,,
A225BMTMXUR5F4,3,Find a new full-time job,work/career development,,,,,,,,,,,
A225BMTMXUR5F4,4,Make $70/week on MTurk until I find a new job,finance,,,,,,,,,,,
A225BMTMXUR5F4,5,Help my sister 1 day/week in her preschool (volunteer) until I find a new job,family,,,,,,,,,,,
A1IBLFQ2E6VA2J,1,I would like to complete a special project at work. ,work/career development,,,,,,,,,,,
A1IBLFQ2E6VA2J,2,I would like to complete my spring session discipleship class with perfect attendance,academic/school,,,,,,,,,,,
A1IBLFQ2E6VA2J,3,"I would like to assemble the portable piano, treadmill and put up the mini-blinds.",leisure,,,,,,,,,,,
A1IBLFQ2E6VA2J,4,I would like to read one scripture every for 3 months.  ,leisure,,,,,,,,,,,
A1IBLFQ2E6VA2J,5,I would like to complete my course and be ready for an exam by july.  ,academic/school,,,,,,,,,,,
AIHHRINW9IN1I,1,My goal is to pay off an extra thousand in credit card debt within the next few months. ,finance,,,,,,,,,,,
AIHHRINW9IN1I,2,My goal is to lose twenty pounds by the start of summer in June.,physical health,,,,,,,,,,,
AIHHRINW9IN1I,3,My goal is to have my resume up to date to start applying for promotions or other positions within the month. ,work/career development,,,,,,,,,,,
A1Z2ZGPJRGG0G3,1,"I want to increase my savings account to 20,000 by end of year.",finance,,,,,,,,,,,
A1Z2ZGPJRGG0G3,2,I would like to get some botox and fillers before the end of year.,physical health,,,,,,,,,,,
A1Z2ZGPJRGG0G3,3,I would like to get my garden started by April.,house work,,,,,,,,,,,
AU34T9OMHN4Z4,1,My goal is to save at least $280 a month for the next 3 months.,finance,,,,,,,,,,,
AU34T9OMHN4Z4,2,My goal is to go for a walk at least 5 times a week for the next 3 months.,physical health,,,,,,,,,,,
AU34T9OMHN4Z4,3,My goal is to lose at least 5 pounds in the next 3 months.,physical health,,,,,,,,,,,
A11ILN5YSUDVG8,1,"I will eat better, exercise daily, and lose 10 pounds in three months. ",physical health,,,,,,,,,,,
A11ILN5YSUDVG8,2,"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.  ",leisure,,,,,,,,,,,
A11ILN5YSUDVG8,3,I will be more outgoing and friendly and try to make at least one new friend in my new community.  ,social/relationship,,,,,,,,,,,
A2GTBBZA2M82NR,1,My goal is to read at least ten pages in French every day.,leisure,,,,,,,,,,,
A2GTBBZA2M82NR,2,My goal is to find a job in my field in the next three months.,work/career development,,,,,,,,,,,
A2GTBBZA2M82NR,3,My goal is to get into the habit of going for a walk every day.,physical health,,,,,,,,,,,
A2GTBBZA2M82NR,4,My goal is to cut my soda intake in half in the next three months.,physical health,,,,,,,,,,,
AMTTB8JUWRRM7,1,Lose 15 pounds in four months,physical health,,,,,,,,,,,
AMTTB8JUWRRM7,2,Reduce my spending to less than $300 every month,finance,,,,,,,,,,,
AQAXDL1INQC9Q,1,My goal is to exercise 3 times a week on the treadmill for 30 minutes. ,physical health,,,,,,,,,,,
AQAXDL1INQC9Q,2,My goal is to work on mturk at least 4 hours a day on weekdays. ,finance,,,,,,,,,,,
AQAXDL1INQC9Q,3,My goal is to help my daughter meet her IEP goals 5 days a week. ,family,,,,,,,,,,,
AAHZCL4LIPCBQ,1,My goal is to find a job within the next six months.,work/career development,,,,,,,,,,,
AAHZCL4LIPCBQ,2,My goal is to exercise at least 5 days out the week.,physical health,,,,,,,,,,,
AAHZCL4LIPCBQ,3,My goal is to eat more healthier. ,physical health,,,,,,,,,,,
A2BEBDMQ7SI4IY,1,Gain a new skill ,skill development,,,,,,,,,,,
A2BEBDMQ7SI4IY,2,Boost networking abilities,social/relationship,,,,,,,,,,,
A2BEBDMQ7SI4IY,3,Star own business,work/career development,,,,,,,,,,,
A2BEBDMQ7SI4IY,4,Make a career switch,work/career development,,,,,,,,,,,
A2BEBDMQ7SI4IY,5,Improve sales,work/career development,,,,,,,,,,,
A1RQUOVV8PCXBM,1,My goal is to work on my marriage and form a better relationship with my husband in the next three months.,family,,,,,,,,,,,
A1RQUOVV8PCXBM,2,My goal is to work out at least 4 days a week in the next three months.,physical health,,,,,,,,,,,
A1RQUOVV8PCXBM,3,My goal is to improve my credit score in the next three months.,finance,,,,,,,,,,,
A1RQUOVV8PCXBM,4,My goal is to start eating healthier everyday and allowing myself one or two cheat days a week.,physical health,,,,,,,,,,,
A1RQUOVV8PCXBM,5,My goal is to start thinking and feeling more positive everyday. ,mental health,,,,,,,,,,,
A1LS7GARU7CD08,1,My goal is to go to the gym 3 times per week.,physical health,,,,,,,,,,,
A1LS7GARU7CD08,2,My goal is to save at least $500 per month.,finance,,,,,,,,,,,
A1LS7GARU7CD08,3,My goal is to run a 5k by the end of the summer (August 2021).,physical health,,,,,,,,,,,
A2FP41BSPG0Y4A,1,Start a yearly savings plan,finance,,,,,,,,,,,
A2FP41BSPG0Y4A,2,Grow and Improve My financial knowledge,finance,,,,,,,,,,,
A2FP41BSPG0Y4A,3,Diversify my investment Strategy,finance,,,,,,,,,,,
A2FP41BSPG0Y4A,4,Exercise 30 mins daily,physical health,,,,,,,,,,,
A2FP41BSPG0Y4A,5,Buy a new 65inch 4k TV,finance,,,,,,,,,,,
AS6FM754MF2B2,1,My goal is to keep going to the gym four times a week.,physical health,,,,,,,,,,,
AS6FM754MF2B2,2,My goal is to maintain my current weight by eating healthy meals every week.,physical health,,,,,,,,,,,
AS6FM754MF2B2,3,My goal is to save money out of every paycheck to pay off my car loan.,finance,,,,,,,,,,,
AS6FM754MF2B2,4,My goal is to save money to go away on a small trip by my birthday in June.,finance,,,,,,,,,,,
A10LHWALI4BZPC,1,My goal is to workout 4-6 days per week.,physical health,,,,,,,,,,,
A10LHWALI4BZPC,2,My goal is to move to a new house within the next month. ,other,moving,,,,,,,,,,
A10LHWALI4BZPC,3,My goal is to find a new girlfriend in the next 2 months,social/relationship,,,,,,,,,,,
A10LHWALI4BZPC,4,My goal is to continue to be vegan every day. ,physical health,,,,,,,,,,,
A3989GRV3UV5VW,1,I want to increase my income this year by 10 percent over last year.,finance,,,,,,,,,,,
A3989GRV3UV5VW,2,I want to get back in the habit of exercising daily and lose at least 20 pounds by the end of the year.,physical health,,,,,,,,,,,
A3989GRV3UV5VW,3,I want to learn to speak Vietnamese.,skill development,,,,,,,,,,,
A1BG47GSHQ9WSU,1,I want to lose 10-15 pounds over the next 3 months.,physical health,,,,,,,,,,,
A1BG47GSHQ9WSU,2,I want to earn at least $1500 every month from traditional means of income,finance,,,,,,,,,,,
A350SLJRMBIFM4,1,My goal is to teach my dog to recognize numbers and quantities up to ten in three months.,other,pet,,,,,,,,,,
A350SLJRMBIFM4,2,My goal is to harvest tomatoes from my own vegetable garden in four months.,house work,,,,,,,,,,,
A350SLJRMBIFM4,3,My goal is to lose 12 pounds in three months.,physical health,,,,,,,,,,,
A350SLJRMBIFM4,4,My goal is to make at least $400 every month on MTurk.,finance,,,,,,,,,,,
A1BIJGB7XA0GME,1,To finish saving money to get my roof repaired next month before the rainey season starts here in FL.,finance,,,,,,,,,,,
A1BIJGB7XA0GME,2,My goal is to go to the dentist to get the rest of my dental implants before summer.,physical health,,,,,,,,,,,
A1BIJGB7XA0GME,3,Clean and organize and paint my barn before the end of summer. I will also taken any items I don't need to the charity store.,house work,,,,,,,,,,,
A5A14MTB35J23,1,Complete 3 rounds of boxing within VR device (Oculus) at least 4 times a week.,physical health,,,,,,,,,,,
A5A14MTB35J23,2,"Have raw vegetables (carrots, celery, broccoli, etc.) with my lunch sandwich at least 3 times a week.",physical health,,,,,,,,,,,
A5A14MTB35J23,3,Complete art project involving framing of old National Geographic magazines by end of May.,leisure,,,,,,,,,,,
A5A14MTB35J23,4,Have lunch with my cousin at least once a month for the rest of the year.,family,,,,,,,,,,,
A5A14MTB35J23,5,Save $5000 in my children's 529 Plans by the end of the year.,finance,,,,,,,,,,,
A3EXD5E390Z6B3,1,Exercise for 60 minutes a day 5 times a week,physical health,,,,,,,,,,,
A3EXD5E390Z6B3,2,Spend 1 hour a day completely unplugged with my kids,family,,,,,,,,,,,
A3EXD5E390Z6B3,3,Earn an extra $500 every month to pay towards savings,finance,,,,,,,,,,,
