"MTurkCode","total_fac","total_con","goal","out_fac_m","out_fac_sd","out_con_m","out_con_sd","in_fac_m","in_fac_sd","in_con_m","in_con_sd","out_net","in_net","listNum","priority","total_goal","goalType","conflict","connectedness","instrumentality"
"A17KN7NAP48L4B",6.33,1,3,6.5,0.71,1,0,5.5,2.12,1,0,5.5,4.5,3,3,3,"recurrance",1,4,7
"A110BZSDZN7E16",2.33,1.33,1,2.5,2.12,1.5,0.71,3.5,3.54,1.5,0.71,1,2,3,1,4,"short-term",1,1,7
"A110BZSDZN7E16",2.33,1.33,2,1,0,1,0,1,0,1,0,0,0,3,3,4,"short-term",1,1,4
"A110BZSDZN7E16",2.33,1.33,3,3.5,3.54,1.5,0.71,2.5,2.12,1.5,0.71,2,1,3,2,4,"long-term",3,4,7
"A1X388C6SDCDEY",4.67,2.5,1,5.33,2.89,2.33,1.53,4,2.65,2,1.73,3,2,4,1,4,"recurrance",3,4,7
"A1X388C6SDCDEY",4.67,2.5,2,2.33,0.58,4.33,0.58,3.67,2.08,3.33,1.15,-2,0.33,4,4,4,"recurrance",6,2,2
"A1X388C6SDCDEY",4.67,2.5,3,4.33,2.31,2,1.73,5.67,2.31,2,1.73,2.33,3.67,4,3,4,"recurrance",2,5,6
"A1X388C6SDCDEY",4.67,2.5,4,6.67,0.58,1.33,0.58,5.33,2.89,2.67,2.08,5.33,2.67,4,2,4,"recurrance",1,7,7
"A1BSVEBYDZ0AAU",1.5,2.83,1,2,0,3,2.83,1.5,0.71,3,1.41,-1,-1.5,3,2,3,"recurrance",2,6,3
"A1BSVEBYDZ0AAU",1.5,2.83,2,1.5,0.71,4,0,1.5,0.71,1,0,-2.5,0.5,3,1,3,"recurrance",4,4,1
"A1BSVEBYDZ0AAU",1.5,2.83,3,1,0,1.5,0.71,1.5,0.71,4.5,0.71,-0.5,-3,3,3,3,"recurrance",2,1,1
"A1D2ZSPIHOI23K",4.5,3.17,1,5.5,0.71,2.5,0.71,3,1.41,4,1.41,3,-1,3,1,4,"short-term",4,4,4
"A1D2ZSPIHOI23K",4.5,3.17,2,3.5,2.12,3.5,2.12,5,0,3.5,0.71,0,1.5,3,3,4,"recurrance",3,3,4
"A1D2ZSPIHOI23K",4.5,3.17,3,4.5,0.71,3.5,0.71,5.5,0.71,2,0,1,3.5,3,2,4,"short-term",5,4,5
"A2VGFS03KCCR1Q",1.5,2.5,1,1,NA,3,NA,2,NA,2,NA,-2,0,2,1,2,"short-term",3,1,5
"A2VGFS03KCCR1Q",1.5,2.5,2,2,NA,2,NA,1,NA,3,NA,0,-2,2,2,2,"recurrance",1,2,7
"AYA1LRB27KSR1",5.8,1.6,1,3.5,2.52,3,2.31,6,2,2,2,0.5,4,5,3,7,"short-term",1,4,7
"AYA1LRB27KSR1",5.8,1.6,2,5.5,3,1,0,7,0,1,0,4.5,6,5,1,7,"recurrance",1,5,7
"AYA1LRB27KSR1",5.8,1.6,3,7,0,1,0,4,3.46,1,0,6,3,5,4,7,"recurrance",2,4,7
"AYA1LRB27KSR1",5.8,1.6,4,6,2,2,2,6,2,2,2,4,4,5,5,7,"recurrance",1,7,7
"AYA1LRB27KSR1",5.8,1.6,5,7,0,1,0,6,2,2,2,6,4,5,2,7,"recurrance",1,7,7
"A132GRVDGXPJGY",1.5,1,1,2,1.41,1,0,1,0,1,0,1,0,3,3,3,"short-term",2,7,5
"A132GRVDGXPJGY",1.5,1,2,1,0,1,0,2.5,0.71,1,0,0,1.5,3,1,3,"short-term",1,2,7
"A132GRVDGXPJGY",1.5,1,3,1.5,0.71,1,0,1,0,1,0,0.5,0,3,2,3,"short-term",1,5,7
"A39H9RIYRB5ZYV",6.55,1.15,1,6.75,0.5,1.25,0.5,7,0,1,0,5.5,6,5,3,6,"recurrance",2,5,7
"A39H9RIYRB5ZYV",6.55,1.15,2,7,0,1.25,0.5,6.25,0.96,1,0,5.75,5.25,5,1,6,"recurrance",1,7,7
"A39H9RIYRB5ZYV",6.55,1.15,3,7,0,1,0,6.5,1,1,0,6,5.5,5,4,6,"long-term",1,7,7
"A39H9RIYRB5ZYV",6.55,1.15,4,5.25,1.26,1.25,0.5,6.75,0.5,1.25,0.5,4,5.5,5,2,6,"recurrance",1,5,6
"A39H9RIYRB5ZYV",6.55,1.15,5,6.75,0.5,1,0,6.25,1.5,1.5,0.58,5.75,4.75,5,5,6,"long-term",1,5,7
"A19YQU3ZZ8USPO",3,2.33,1,3.5,0.71,2,0,4.5,0.71,2.5,0.71,1.5,2,3,3,3,"recurrance",1,7,4
"A19YQU3ZZ8USPO",3,2.33,2,3,2.83,2,0,2,1.41,2.5,0.71,1,-0.5,3,2,3,"short-term",1,7,5
"A19YQU3ZZ8USPO",3,2.33,3,2.5,2.12,3,0,2.5,2.12,2,0,-0.5,0.5,3,1,3,"recurrance",1,7,7
"A2EK1HDV4I4GSK",5.5,2,1,6,NA,2,NA,5,NA,2,NA,4,3,2,2,2,"long-term",3,2,6
"A2EK1HDV4I4GSK",5.5,2,2,5,NA,2,NA,6,NA,2,NA,3,4,2,1,2,"long-term",3,3,5
"A11F3MA5FWH6SJ",3.33,2.33,1,5,2.83,3,2.83,4,4.24,1,0,2,3,3,2,3,"recurrance",2,3,7
"A11F3MA5FWH6SJ",3.33,2.33,2,4,4.24,2,1.41,4,4.24,2,1.41,2,2,3,3,3,"recurrance",2,2,7
"A11F3MA5FWH6SJ",3.33,2.33,3,1,0,2,1.41,2,1.41,4,1.41,-1,-2,3,1,3,"short-term",1,1,3
"AHKRGPN5D3I2G",2.3,1.35,1,2.5,3,1,0,2.75,2.87,1.75,1.5,1.5,1,5,3,4,"recurrance",1,7,7
"AHKRGPN5D3I2G",2.3,1.35,2,3,2.71,1.75,1.5,2.5,3,1,0,1.25,1.5,5,1,4,"short-term",1,7,7
"AHKRGPN5D3I2G",2.3,1.35,3,1,0,1,0,1.25,0.5,2,2,0,-0.75,5,2,4,"long-term",1,7,7
"AHKRGPN5D3I2G",2.3,1.35,4,2.5,3,2,2,2.5,3,1,0,0.5,1.5,5,4,4,"recurrance",1,7,7
"AHKRGPN5D3I2G",2.3,1.35,5,2.5,3,1,0,2.5,3,1,0,1.5,1.5,5,5,4,"long-term",1,7,7
"A1CI5U3BLQ2DDS",1.8,1.3,1,2.5,3,1,0,2.5,3,1,0,1.5,1.5,5,1,5,"short-term",1,7,7
"A1CI5U3BLQ2DDS",1.8,1.3,2,2.5,3,1,0,2.5,3,1,0,1.5,1.5,5,2,5,"long-term",1,7,7
"A1CI5U3BLQ2DDS",1.8,1.3,3,1,0,1.75,1.5,2,2,1.75,1.5,-0.75,0.25,5,5,5,"recurrance",2,3,7
"A1CI5U3BLQ2DDS",1.8,1.3,4,2,2,1.75,1.5,1,0,1.75,1.5,0.25,-0.75,5,4,5,"recurrance",3,5,7
"A1CI5U3BLQ2DDS",1.8,1.3,5,1,0,1,0,1,0,1,0,0,0,5,3,5,"recurrance",1,4,7
"A302KOFOYLD89A",2.33,1.33,1,1,0,1,0,1,0,1,0,0,0,3,3,2,"long-term",2,2,6
"A302KOFOYLD89A",2.33,1.33,2,3,2.83,1.5,0.71,3,2.83,1.5,0.71,1.5,1.5,3,2,2,"recurrance",3,2,5
"A302KOFOYLD89A",2.33,1.33,3,3,2.83,1.5,0.71,3,2.83,1.5,0.71,1.5,1.5,3,1,2,"recurrance",2,2,6
"A3GI28OVLDI9ST",3.65,1.2,1,4.5,2.65,1,0,3.5,0.58,1,0,3.5,2.5,5,1,5,"short-term",3,4,5
"A3GI28OVLDI9ST",3.65,1.2,2,3.25,2.63,1,0,2.75,2.87,1.25,0.5,2.25,1.5,5,2,5,"short-term",4,4,7
"A3GI28OVLDI9ST",3.65,1.2,3,4,2.16,1.25,0.5,3.75,2.06,1.75,1.5,2.75,2,5,3,5,"short-term",2,4,6
"A3GI28OVLDI9ST",3.65,1.2,4,2.5,1.29,1,0,4.25,3.2,1,0,1.5,3.25,5,4,5,"long-term",3,6,4
"A3GI28OVLDI9ST",3.65,1.2,5,4,2.45,1.75,1.5,4,2.16,1,0,2.25,3,5,5,5,"short-term",2,4,6
"A3PSV85ZUXP9VF",1,3,1,1,0,1,0,1,0,1,0,0,0,3,1,3,"long-term",1,1,5
"A3PSV85ZUXP9VF",1,3,2,1,0,4,4.24,1,0,4,4.24,-3,-3,3,2,3,"short-term",1,1,1
"A3PSV85ZUXP9VF",1,3,3,1,0,4,4.24,1,0,4,4.24,-3,-3,3,3,3,"short-term",4,4,7
"A2ZGAH6NOSU2PO",2.45,1.25,1,3.25,2.06,1.25,0.5,3.75,1.89,1,0,2,2.75,5,2,6,"recurrance",3,6,3
"A2ZGAH6NOSU2PO",2.45,1.25,2,1.25,0.5,1.5,1,1.75,0.5,1.5,1,-0.25,0.25,5,4,6,"short-term",2,3,6
"A2ZGAH6NOSU2PO",2.45,1.25,3,3,1.83,1,0,2.75,2.06,1,0,2,1.75,5,3,6,"long-term",1,2,4
"A2ZGAH6NOSU2PO",2.45,1.25,4,2,2,1,0,1,0,1,0,1,0,5,1,6,"short-term",1,4,7
"A2ZGAH6NOSU2PO",2.45,1.25,5,2.75,1.5,1.5,1,3,1.83,1.75,0.96,1.25,1.25,5,5,6,"short-term",1,2,2
"A30FIPRPFQRBO6",3,3,1,4,4.24,4,4.24,4,4.24,4,4.24,0,0,3,1,3,"recurrance",1,4,7
"A30FIPRPFQRBO6",3,3,2,4,4.24,4,4.24,4,4.24,4,4.24,0,0,3,2,3,"recurrance",4,4,7
"A30FIPRPFQRBO6",3,3,3,1,0,1,0,1,0,1,0,0,0,3,3,3,"long-term",4,4,4
"AKMOBFEEKW378",1.6,2.2,1,2.5,3,1,0,2.5,3,1,0,1.5,1.5,5,2,3,"recurrance",1,4,7
"AKMOBFEEKW378",1.6,2.2,2,2.5,3,2.5,3,2.5,3,2.5,3,0,0,5,3,3,"recurrance",4,4,5
"AKMOBFEEKW378",1.6,2.2,3,1,0,2.5,3,1,0,2.5,3,-1.5,-1.5,5,1,3,"recurrance",5,7,4
"AKMOBFEEKW378",1.6,2.2,4,1,0,2.5,3,1,0,2.5,3,-1.5,-1.5,5,4,3,"long-term",4,2,7
"AKMOBFEEKW378",1.6,2.2,5,1,0,2.5,3,1,0,2.5,3,-1.5,-1.5,5,5,3,"long-term",3,4,4
"A18SXC3JEN1O0U",1,1,1,1,NA,1,NA,1,NA,1,NA,0,0,2,1,2,"recurrance",2,3,1
"A18SXC3JEN1O0U",1,1,2,1,NA,1,NA,1,NA,1,NA,0,0,2,2,2,"recurrance",1,5,3
"A198MSVO1VTAT5",1,1,1,1,0,1,0,1,0,1,0,0,0,4,1,4,"short-term",1,5,5
"A198MSVO1VTAT5",1,1,2,1,0,1,0,1,0,1,0,0,0,4,2,4,"short-term",1,4,5
"A198MSVO1VTAT5",1,1,3,1,0,1,0,1,0,1,0,0,0,4,3,4,"short-term",1,4,5
"A198MSVO1VTAT5",1,1,4,1,0,1,0,1,0,1,0,0,0,4,4,4,"short-term",1,4,4
"A1MJWY7UO3CDSM",1,1,1,1,NA,1,NA,1,NA,1,NA,0,0,2,1,2,"short-term",1,2,2
"A1MJWY7UO3CDSM",1,1,2,1,NA,1,NA,1,NA,1,NA,0,0,2,2,2,"short-term",1,1,6
"A2CP6MLJVJYBO7",4,1,1,7,NA,1,NA,1,NA,1,NA,6,0,2,1,3,"recurrance",1,5,6
"A2CP6MLJVJYBO7",4,1,2,1,NA,1,NA,7,NA,1,NA,0,6,2,2,3,"recurrance",1,6,7
"AQMLJYUQCSG22",1,2.33,1,1,0,2.5,0.71,1,0,1.5,0.71,-1.5,-0.5,3,1,3,"recurrance",1,1,2
"AQMLJYUQCSG22",1,2.33,2,1,0,2,1.41,1,0,3,0,-1,-2,3,2,3,"long-term",2,1,1
"AQMLJYUQCSG22",1,2.33,3,1,0,2.5,0.71,1,0,2.5,0.71,-1.5,-1.5,3,3,3,"short-term",3,2,3
"A6JUD4NCQCDWG",2,5,1,2,NA,6,NA,2,NA,4,NA,-4,-2,2,1,2,"long-term",6,3,5
"A6JUD4NCQCDWG",2,5,2,2,NA,4,NA,2,NA,6,NA,-2,-4,2,2,2,"short-term",3,6,1
"A2HQMB1GSEADL",1.7,2.2,1,1,0,1.5,0.58,1,0,1.25,0.5,-0.5,-0.25,5,1,13,"short-term",3,1,1
"A2HQMB1GSEADL",1.7,2.2,2,1.75,1.5,2.75,1.5,1.75,1.5,2.75,1.5,-1,-1,5,4,13,"recurrance",3,1,2
"A2HQMB1GSEADL",1.7,2.2,3,2.75,1.26,1.25,0.5,2.75,1.26,1.25,0.5,1.5,1.5,5,2,13,"short-term",2,1,3
"A2HQMB1GSEADL",1.7,2.2,4,1.5,1,2.75,2.06,1.5,1,2.5,1.73,-1.25,-1,5,3,13,"recurrance",5,1,4
"A2HQMB1GSEADL",1.7,2.2,5,1.5,1,2.75,1.5,1.5,1,3.25,1.5,-1.25,-1.75,5,5,13,"recurrance",4,4,3
"A1WS9UHL45VZ0X",2.33,2,1,1.5,0.71,2.5,2.12,1,0,2.5,2.12,-1,-1.5,3,1,3,"short-term",2,5,7
"A1WS9UHL45VZ0X",2.33,2,2,2.5,2.12,1,0,3,2.83,1,0,1.5,2,3,2,3,"recurrance",1,3,2
"A1WS9UHL45VZ0X",2.33,2,3,3,2.83,2.5,2.12,3,1.41,2.5,2.12,0.5,0.5,3,3,3,"recurrance",4,2,3
"AADRZTXSE7211",2.17,2.5,1,1.67,1.15,4.33,0.58,1,0,3.67,0.58,-2.67,-2.67,4,1,3,"recurrance",3,3,5
"AADRZTXSE7211",2.17,2.5,2,3,3.46,1.67,1.15,3,3.46,2,1.73,1.33,1,4,3,3,"short-term",3,4,6
"AADRZTXSE7211",2.17,2.5,3,3,3.46,2,1.73,3,3.46,2,1.73,1,1,4,2,3,"recurrance",3,4,5
"AADRZTXSE7211",2.17,2.5,4,1,0,2,1.73,1.67,1.15,2.33,2.31,-1,-0.67,4,4,3,"recurrance",3,3,5
"A1ABL45KAK12A5",3.25,1.95,1,3.75,3.2,1,0,3.25,2.87,1,0,2.75,2.25,5,3,4,"recurrance",1,7,7
"A1ABL45KAK12A5",3.25,1.95,2,2.5,3,2,2,4.25,3.2,2.25,2.5,0.5,2,5,5,4,"recurrance",1,6,7
"A1ABL45KAK12A5",3.25,1.95,3,1.25,0.5,1,0,1.25,0.5,2,2,0.25,-0.75,5,4,4,"recurrance",1,2,7
"A1ABL45KAK12A5",3.25,1.95,4,5,2.45,3.5,3,2,2,1,0,1.5,1,5,2,4,"long-term",7,7,7
"A1ABL45KAK12A5",3.25,1.95,5,3.75,2.75,2.25,2.5,5.5,2.38,3.5,3,1.5,2,5,1,4,"recurrance",1,7,7
"A2W0G89O7E9EFO",1.75,1.4,1,3,1.41,1,0,1,0,1,0,2,0,5,1,3,"long-term",1,2,6
"A2W0G89O7E9EFO",1.75,1.4,2,1,0,1.5,0.58,1.5,1,1.5,0.58,-0.5,0,5,4,3,"short-term",2,2,4
"A2W0G89O7E9EFO",1.75,1.4,3,1.75,1.5,1.25,0.5,2.75,2.06,1.75,0.96,0.5,1,5,3,3,"long-term",2,4,3
"A2W0G89O7E9EFO",1.75,1.4,4,2,2,1.5,0.58,2.5,1.73,1.5,0.58,0.5,1,5,2,3,"long-term",1,6,4
"A2W0G89O7E9EFO",1.75,1.4,5,1,0,1.75,0.96,1,0,1.25,0.5,-0.75,-0.25,5,5,3,"long-term",1,2,2
"A38DHLB88V8DL8",3.75,1.08,1,4.67,3.21,1,0,4.67,3.21,1,0,3.67,3.67,4,2,4,"recurrance",1,4,NA
"A38DHLB88V8DL8",3.75,1.08,2,5,2.65,1,0,4.67,3.21,1,0,4,3.67,4,1,4,"short-term",2,5,5
"A38DHLB88V8DL8",3.75,1.08,3,1,0,1,0,1.33,0.58,1.33,0.58,0,0,4,3,4,"short-term",3,6,5
"A38DHLB88V8DL8",3.75,1.08,4,4.33,2.89,1.33,0.58,4.33,2.89,1,0,3,3.33,4,4,4,"recurrance",1,6,6
"A1WJYF201K77BI",1.8,1.5,1,1,0,1,0,1,0,1,0,0,0,5,1,5,"recurrance",4,1,5
"A1WJYF201K77BI",1.8,1.5,2,2.75,2.06,2,2,1.25,0.5,1.75,1.5,0.75,-0.5,5,3,5,"recurrance",2,4,5
"A1WJYF201K77BI",1.8,1.5,3,2,2,1,0,3,1.83,1.75,1.5,1,1.25,5,4,5,"recurrance",2,1,2
"A1WJYF201K77BI",1.8,1.5,4,1.25,0.5,1.75,1.5,2.75,2.06,1,0,-0.5,1.75,5,5,5,"recurrance",2,4,2
"A1WJYF201K77BI",1.8,1.5,5,2,1.41,1.75,1.5,1,0,2,2,0.25,-1,5,2,5,"recurrance",4,5,4
"AF0W4ZBY7VXOU",6,2,1,7,0,1,0,4,4.24,4,4.24,6,0,3,1,3,"recurrance",5,7,7
"AF0W4ZBY7VXOU",6,2,2,4,4.24,4,4.24,7,0,1,0,0,6,3,2,3,"short-term",1,7,7
"AF0W4ZBY7VXOU",6,2,3,7,0,1,0,7,0,1,0,6,6,3,3,3,"recurrance",1,7,7
"A2H6Q22X1V1FTX",1.33,2,1,1,0,1,0,1,0,1,0,0,0,3,2,3,"short-term",1,2,6
"A2H6Q22X1V1FTX",1.33,2,2,1.5,0.71,2.5,2.12,1.5,0.71,2.5,2.12,-1,-1,3,1,3,"long-term",5,7,6
"A2H6Q22X1V1FTX",1.33,2,3,1.5,0.71,2.5,2.12,1.5,0.71,2.5,2.12,-1,-1,3,3,3,"short-term",2,3,1
"ANZNAAS2K0DSY",1.5,1,1,1,0,1,0,2.5,2.12,1,0,0,1.5,3,1,2,"short-term",1,5,7
"ANZNAAS2K0DSY",1.5,1,2,2.5,2.12,1,0,1,0,1,0,1.5,0,3,2,2,"short-term",1,1,4
"ANZNAAS2K0DSY",1.5,1,3,1,0,1,0,1,0,1,0,0,0,3,3,2,"short-term",1,1,1
"A2WZ8ZEB00LYF7",5,4,1,5,NA,4,NA,5,NA,4,NA,1,1,2,2,2,"long-term",4,6,4
"A2WZ8ZEB00LYF7",5,4,2,5,NA,4,NA,5,NA,4,NA,1,1,2,1,2,"short-term",4,6,7
"A321WQIFK10UV3",5.5,1.33,1,5.5,2.12,1.5,0.71,6,1.41,1,0,4,5,3,2,3,"long-term",1,4,7
"A321WQIFK10UV3",5.5,1.33,2,5,0,1.5,0.71,4.5,0.71,1,0,3.5,3.5,3,1,3,"recurrance",1,7,7
"A321WQIFK10UV3",5.5,1.33,3,6,1.41,1,0,6,1.41,2,0,5,4,3,3,3,"short-term",1,7,7
"A18JNQE5GZQIX5",3.33,1,1,3,2.83,1,0,5,2.83,1,0,2,4,3,1,3,"recurrance",1,4,5
"A18JNQE5GZQIX5",3.33,1,2,3,0,1,0,1,0,1,0,2,0,3,2,3,"recurrance",2,3,2
"A18JNQE5GZQIX5",3.33,1,3,4,4.24,1,0,4,1.41,1,0,3,3,3,3,3,"long-term",2,5,5
"AXF0OX50YZQC6",4.6,1,1,5.5,3,1,0,5.5,3,1,0,4.5,4.5,5,4,6,"recurrance",1,7,7
"AXF0OX50YZQC6",4.6,1,2,5.5,3,1,0,5.5,3,1,0,4.5,4.5,5,1,6,"short-term",1,7,7
"AXF0OX50YZQC6",4.6,1,3,5.5,3,1,0,5.5,3,1,0,4.5,4.5,5,2,6,"long-term",1,7,7
"AXF0OX50YZQC6",4.6,1,4,1,0,1,0,1,0,1,0,0,0,5,5,6,"long-term",1,5,7
"AXF0OX50YZQC6",4.6,1,5,5.5,3,1,0,5.5,3,1,0,4.5,4.5,5,3,6,"recurrance",1,7,7
"A2VGEE0ZIZ8CBQ",2.17,2.17,1,2,0,1.5,0.71,3,1.41,2,1.41,0.5,1,3,2,3,"recurrance",2,4,5
"A2VGEE0ZIZ8CBQ",2.17,2.17,2,1.5,0.71,3,0,2,0,2.5,0.71,-1.5,-0.5,3,3,3,"recurrance",3,2,4
"A2VGEE0ZIZ8CBQ",2.17,2.17,3,3,1.41,2,1.41,1.5,0.71,2,1.41,1,-0.5,3,1,3,"recurrance",2,4,6
"ADYMIMV1PE14V",4.33,1.5,1,6.5,0.71,1,0,4,4.24,1,0,5.5,3,3,1,2,"long-term",1,4,7
"ADYMIMV1PE14V",4.33,1.5,2,5.5,2.12,1.5,0.71,4,4.24,2,1.41,4,2,3,2,2,"recurrance",1,6,7
"ADYMIMV1PE14V",4.33,1.5,3,1,0,2,1.41,5,1.41,1.5,0.71,-1,3.5,3,3,2,"short-term",1,4,4
"A1RWNYJA5X25YH",4.25,1.55,1,5,2.45,1,0,5.25,1.26,1,0,4,4.25,5,4,5,"recurrance",1,4,4
"A1RWNYJA5X25YH",4.25,1.55,2,4.5,2.52,2,2,5,2.83,1.25,0.5,2.5,3.75,5,3,5,"long-term",2,5,2
"A1RWNYJA5X25YH",4.25,1.55,3,2.75,2.06,2,1.41,1.75,1.5,2.75,2.06,0.75,-1,5,1,5,"recurrance",2,4,7
"A1RWNYJA5X25YH",4.25,1.55,4,5.5,3,1,0,5.5,1.73,1,0,4.5,4.5,5,5,5,"short-term",1,4,5
"A1RWNYJA5X25YH",4.25,1.55,5,3.5,1.73,1.75,1.5,3.75,2.75,1.75,1.5,1.75,2,5,2,5,"recurrance",1,4,7
"A3UUH3632AI3ZX",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"short-term",1,4,7
"A34VLM2UC0JY11",7,1,1,7,NA,1,NA,7,NA,1,NA,6,6,2,1,2,"short-term",1,7,7
"A34VLM2UC0JY11",7,1,2,7,NA,1,NA,7,NA,1,NA,6,6,2,2,2,"long-term",1,7,7
"ASY5W2HJPIPF4",1,1,1,1,NA,1,NA,1,NA,1,NA,0,0,2,1,3,"short-term",1,2,1
"ASY5W2HJPIPF4",1,1,2,1,NA,1,NA,1,NA,1,NA,0,0,2,2,3,"short-term",1,3,2
"A2SFFO79KSG5VA",1.45,1,1,2.25,2.5,1,0,2,2,1,0,1.25,1,5,2,5,"short-term",1,4,3
"A2SFFO79KSG5VA",1.45,1,2,1,0,1,0,1,0,1,0,0,0,5,5,5,"recurrance",1,3,3
"A2SFFO79KSG5VA",1.45,1,3,1,0,1,0,1,0,1,0,0,0,5,3,5,"recurrance",1,6,5
"A2SFFO79KSG5VA",1.45,1,4,2,2,1,0,2.25,2.5,1,0,1,1.25,5,4,5,"recurrance",1,4,4
"A2SFFO79KSG5VA",1.45,1,5,1,0,1,0,1,0,1,0,0,0,5,1,5,"long-term",2,3,4
"A1T83SZBP2DN65",5,2,1,6,NA,2,NA,4,NA,2,NA,4,2,2,1,2,"short-term",1,2,3
"A1T83SZBP2DN65",5,2,2,4,NA,2,NA,6,NA,2,NA,2,4,2,2,2,"long-term",3,4,5
"AVKMFV9CZ0MLR",7,1,1,7,0,1,0,7,0,1,0,6,6,5,1,5,"recurrance",1,7,7
"AVKMFV9CZ0MLR",7,1,2,7,0,1,0,7,0,1,0,6,6,5,2,5,"recurrance",1,7,7
"AVKMFV9CZ0MLR",7,1,3,7,0,1,0,7,0,1,0,6,6,5,4,5,"recurrance",7,7,7
"AVKMFV9CZ0MLR",7,1,4,7,0,1,0,7,0,1,0,6,6,5,3,5,"recurrance",1,7,7
"AVKMFV9CZ0MLR",7,1,5,7,0,1,0,7,0,1,0,6,6,5,5,5,"recurrance",1,7,7
"A3OAXRZT3MVJML",1.5,1.17,1,1.5,0.71,1,0,1,0,1.5,0.71,0.5,-0.5,3,1,2,"long-term",1,4,6
"A3OAXRZT3MVJML",1.5,1.17,2,2,1.41,1.5,0.71,1.5,0.71,1,0,0.5,0.5,3,3,2,"short-term",1,4,3
"A3OAXRZT3MVJML",1.5,1.17,3,1,0,1,0,2,1.41,1,0,0,1,3,2,2,"long-term",1,1,5
"A5E2P5F1AXYZ1",2.85,1.35,1,3,1.63,1.25,0.5,2.75,2.06,1.5,0.58,1.75,1.25,5,1,5,"recurrance",3,4,4
"A5E2P5F1AXYZ1",2.85,1.35,2,2.5,3,1,0,3.5,2.52,1,0,1.5,2.5,5,2,5,"recurrance",3,5,4
"A5E2P5F1AXYZ1",2.85,1.35,3,4.25,0.96,1.5,0.58,1.75,0.96,1.75,1.5,2.75,0,5,4,5,"long-term",3,3,4
