"MTurkCode","listNum","goal","endTime","goalType","progress_base","satisfaction_base","total_goal","commitment","effort","failure","implementation_intention","initial_time","other_resources","procrastination","regret","self_resources","urgency","AR_F1","commitment_F1","effort_F1","plan_F1","progress_F1","resources_other_F1","resources_self_F1","satisfaction_F1","status_F1","urgency_F1","AR_F2","commitment_F2","effort_F2","plan_F2","progress_F2","resources_other_F2","resources_self_F2","satisfaction_F2","status_F2","urgency_F2","AR_F3","commitment_F3","effort_F3","plan_F3","progress_F3","resources_other_F3","resources_self_F3","satisfaction_F3","status_F3","urgency_F3","terminate_time","ACRISS_F1","ACRISS_F2","ACRISS_F3","final_time","miss_final","all_progress","progress_final","satisfaction_final","status_final","adjust_num"
"A110BZSDZN7E16",3,2,"three_month","short-term",3,3,4,7,6,1,6,3,6,1,7,6,5,7,7,6,6,1,3,5,1,"continued",6,2,7,7,6,5,5,6,5,"continued",6,1,7,7,7,8,3,7,6,"adjusted",5,NA,1.5,1.66666666666667,1.5,"F3",FALSE,TRUE,8,6,"adjusted",2
"A11F3MA5FWH6SJ",3,1,NA,"recurrance",0,1,3,7,2,3,4,3,4,6,7,7,7,6,4,4,4,5,1,4,4,"continued",4,6,4,4,5,5,4,4,2,"adjusted",4,1,6,5,7,8,1,7,5,"completed",7,"F3",3.5,2.83333333333333,2.66666666666667,"F3",FALSE,TRUE,8,5,"completed",1
"A11ILN5YSUDVG8",3,1,NA,"recurrance",7,2,3,6,4,3,6,5,5,6,6,6,6,6,2,2,2,1,3,6,1,"adjusted",5,6,7,5,5,NA,4,7,NA,"continued",6,2,5,5,5,NA,4,5,NA,"continued",5,NA,2.83333333333333,2.83333333333333,2.16666666666667,"F3",FALSE,NA,NA,NA,"continued",1
"A132GRVDGXPJGY",3,1,"three_month","short-term",3,3,3,7,6,2,4,2,5,2,7,7,6,8,1,1,1,0,4,3,1,"adjusted",1,4,3,1,7,NA,1,7,NA,"continued",1,8,2,1,4,NA,1,3,NA,"continued",1,NA,2.16666666666667,1.66666666666667,1.83333333333333,"F3",FALSE,NA,NA,NA,"continued",1
"A132GRVDGXPJGY",3,3,"next_month","short-term",1,1,3,7,7,3,4,1,7,5,7,7,7,7,2,3,6,2,1,5,3,"continued",3,8,2,5,6,3,1,3,2,"adjusted",4,7,1,1,1,0,4,1,1,"abandoned",1,"F3",3.16666666666667,2.5,4.33333333333333,"F3",FALSE,TRUE,0,1,"abandoned",1
"A13FUEPWBCLBUY",2,1,NA,"recurrance",9,6,2,7,7,3,7,3,5,2,7,7,6,1,7,7,7,9,7,7,7,"adjusted",6,1,7,7,7,11,5,7,7,"continued",5,1,7,7,7,9,5,7,6,"continued",5,NA,1.4,2,1.83333333333333,"F3",FALSE,TRUE,9,6,"continued",1
"A13WTEQ06V3B6D",3,2,NA,"recurrance",5,1,3,6,6,3,6,2,6,4,6,6,6,1,7,7,7,8,6,7,7,"continued",7,6,4,4,5,5,7,5,2,"continued",3,7,3,4,6,5,7,5,1,"adjusted",4,NA,1.83333333333333,2.66666666666667,3.83333333333333,"F3",FALSE,TRUE,5,1,"adjusted",2
"A169WH54HMYS5Z",3,1,NA,"recurrance",2,2,3,7,5,3,7,3,4,4,7,7,7,3,6,6,6,6,1,6,4,"continued",6,4,4,4,4,5,2,7,3,"continued",4,8,4,4,6,4,3,6,2,"adjusted",5,NA,2.16666666666667,2.33333333333333,2.66666666666667,"F3",FALSE,TRUE,4,2,"adjusted",2
"A17KN7NAP48L4B",3,3,NA,"recurrance",2,3,3,6,7,3,7,3,5,4,6,7,4,2,4,4,4,5,4,5,4,"adjusted",4,5,2,2,3,2,3,4,1,"abandoned",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",2.33333333333333,3.33333333333333,NA,"F2",FALSE,NA,2,1,"abandoned",1
"A18JNQE5GZQIX5",3,3,NA,"long-term",6,5,3,6,7,1,6,4,5,3,3,6,5,1,7,7,7,9,7,7,7,"continued",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,7,3,7,7,7,"adjusted",2,NA,1.5,NA,3.33333333333333,"F3",FALSE,NA,3,7,"adjusted",2
"A19YQU3ZZ8USPO",3,1,NA,"recurrance",7,6,3,6,5,1,4,6,3,2,6,6,5,2,4,4,5,6,1,5,5,"adjusted",3,8,3,3,6,4,5,5,2,"adjusted",4,3,NA,4,4,8,5,6,6,"continued",4,NA,2,2.5,2.33333333333333,"F3",FALSE,TRUE,8,6,"continued",2
"A1ABL45KAK12A5",5,3,NA,"recurrance",1,1,4,7,5,2,6,3,7,3,7,6,5,8,1,1,2,0,5,5,1,"continued",1,3,5,4,7,6,6,7,2,"adjusted",6,8,2,2,3,0,5,7,1,"continued",2,NA,3,1.83333333333333,2.83333333333333,"F3",FALSE,TRUE,0,1,"continued",1
"A1ADAWW4IHPCQ7",3,2,NA,"recurrance",4,4,3,6,4,2,7,3,7,5,7,6,5,2,6,6,6,9,6,7,6,"continued",5,7,4,3,4,5,5,4,3,"continued",4,5,2,2,4,4,4,6,2,"adjusted",3,NA,1.83333333333333,2.16666666666667,3,"F3",FALSE,TRUE,4,2,"adjusted",2
"A1AZLJ3R5FQ9B7",3,1,NA,"long-term",1,4,3,7,6,3,7,3,7,4,6,6,6,2,7,6,7,9,7,7,6,"continued",6,8,4,3,5,2,5,7,3,"continued",4,5,6,5,7,1,7,5,4,"adjusted",4,NA,1.5,3.83333333333333,3.83333333333333,"F3",FALSE,TRUE,1,4,"adjusted",2
"A1AZLJ3R5FQ9B7",3,2,NA,"recurrance",0,1,3,7,6,1,6,5,6,4,5,5,3,5,3,2,6,1,7,7,1,"adjusted",2,8,3,2,6,3,4,7,2,"continued",3,7,2,1,5,1,4,7,1,"abandoned",1,"F3",4,3.5,4,"F3",FALSE,TRUE,1,1,"abandoned",1
"A1B5SSGMTAQ9B5",2,1,"three_month","short-term",0,3,2,5,4,3,5,2,3,6,4,3,6,8,3,5,4,3,3,4,3,"continued",3,8,4,4,4,2,4,4,5,"continued",4,5,3,4,4,3,3,3,3,"adjusted",3,NA,2.33333333333333,2.66666666666667,3,"F3",FALSE,TRUE,3,3,"adjusted",2
"A1BSVEBYDZ0AAU",3,1,NA,"recurrance",7,3,3,3,6,3,5,6,2,5,4,6,3,4,4,5,6,6,1,7,6,"adjusted",5,3,4,4,5,8,1,6,5,"continued",3,4,6,5,7,9,1,7,7,"continued",4,NA,2.33333333333333,2,1.83333333333333,"F3",FALSE,TRUE,9,7,"continued",1
"A1BWS5AD2T4NIR",5,1,"three_month","short-term",5,5,5,4,5,2,5,1,4,4,4,6,2,5,4,4,5,7,1,5,4,"continued",3,6,2,2,3,6,1,4,2,"adjusted",4,8,3,3,4,8,1,6,4,"continued",2,NA,3.16666666666667,3.66666666666667,2.83333333333333,"F3",FALSE,TRUE,8,4,"continued",1
"A1D7IULWFI8PB1",3,3,"three_month","short-term",0,4,3,7,3,1,5,3,6,3,6,7,4,4,4,2,5,1,5,7,4,"continued",2,2,6,7,7,10,7,7,7,"continued",7,4,3,3,3,1,4,6,4,"adjusted",2,NA,2,1.66666666666667,2.16666666666667,"F3",FALSE,TRUE,1,4,"adjusted",2
"A1G5EPLJEGL381",2,1,NA,"long-term",2,5,2,6,6,1,7,5,2,1,4,7,4,2,6,7,6,8,6,5,6,"continued",3,4,6,6,6,11,1,5,6,"adjusted",3,2,7,5,7,7,4,7,7,"continued",3,NA,2.33333333333333,2.33333333333333,1.66666666666667,"F3",FALSE,TRUE,7,7,"continued",1
"A1G5EPLJEGL381",2,2,NA,"long-term",4,3,2,7,6,1,6,2,2,1,3,7,6,1,7,6,7,7,2,5,6,"continued",5,1,6,6,7,8,1,5,4,"adjusted",4,4,7,5,7,4,4,5,5,"continued",4,NA,2.33333333333333,1.5,1.66666666666667,"F3",FALSE,TRUE,4,5,"continued",1
"A1IBLFQ2E6VA2J",5,5,NA,"long-term",2,1,10,7,7,3,5,3,1,7,7,5,7,7,2,2,5,NA,3,6,2,"adjusted",3,8,1,1,4,NA,1,3,NA,"abandoned",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",3.5,4.33333333333333,NA,"F2",FALSE,NA,NA,NA,"abandoned",1
"A1M8BYIP0KZJZX",5,1,"three_month","short-term",8,5,7,7,5,1,3,3,4,1,4,5,6,4,4,3,5,1,1,2,1,"adjusted",6,4,5,4,3,NA,6,5,NA,"continued",2,4,4,4,3,NA,5,4,NA,"continued",5,NA,3.33333333333333,3,3.5,"F3",FALSE,NA,NA,NA,"continued",1
"A1R5W4RQZTROD8",4,4,NA,"recurrance",9,6,4,7,7,3,7,2,3,3,4,7,3,4,5,3,5,9,4,7,7,"continued",2,5,2,3,3,5,2,5,3,"adjusted",2,4,4,3,4,8,2,6,6,"adjusted",3,NA,1.5,2.16666666666667,2.5,"F3",FALSE,TRUE,8,6,"adjusted",3
"A1SISJL5ST2PWH",3,1,NA,"recurrance",1,2,3,4,4,3,4,2,5,3,2,5,4,3,3,3,5,1,5,4,4,"continued",3,4,4,4,5,9,5,5,6,"continued",4,2,4,4,5,9,5,5,6,"adjusted",4,NA,2.33333333333333,2.33333333333333,2.33333333333333,"F3",FALSE,TRUE,9,6,"adjusted",2
"A1SISJL5ST2PWH",3,3,"three_month","short-term",1,4,3,4,4,1,3,8,4,2,2,5,1,3,5,4,5,2,4,5,4,"continued",4,3,5,3,5,7,5,5,5,"continued",2,3,4,3,5,9,4,5,6,"adjusted",3,NA,2.5,2.33333333333333,2.16666666666667,"F3",FALSE,TRUE,9,6,"adjusted",2
"A1WS9UHL45VZ0X",3,1,"three_month","short-term",0,1,3,7,6,2,5,3,5,2,4,5,7,4,5,6,5,6,7,4,3,"continued",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,7,4,6,6,3,3,"adjusted",7,NA,2.83333333333333,NA,2.16666666666667,"F3",FALSE,NA,6,3,"adjusted",2
"A1X388C6SDCDEY",4,2,NA,"recurrance",2,1,4,4,2,3,2,1,2,6,5,5,3,8,1,2,2,1,2,7,1,"continued",1,6,1,1,1,1,1,5,1,"adjusted",1,6,1,1,1,NA,2,6,NA,"continued",2,NA,3.33333333333333,3.5,3.66666666666667,"F3",FALSE,NA,NA,NA,"continued",1
"A1XRWOK00HK1J4",4,2,NA,"recurrance",8,6,4,7,7,1,5,8,1,1,5,7,7,2,4,4,5,5,1,6,3,"continued",4,8,3,3,3,5,1,5,5,"adjusted",4,2,4,4,4,5,1,7,5,"continued",2,NA,2.16666666666667,3,2.66666666666667,"F3",FALSE,TRUE,5,5,"continued",1
"A1YPOIURXB6ESR",4,3,"three_month","short-term",2,2,4,7,6,1,5,3,7,4,7,4,7,5,7,7,5,5,6,5,5,"continued",7,7,7,6,5,3,5,4,2,"continued",7,8,7,6,5,5,5,3,2,"adjusted",7,NA,1.83333333333333,2,2.16666666666667,"F3",FALSE,TRUE,5,2,"adjusted",2
"A1YPOIURXB6ESR",4,4,"three_month","short-term",2,2,4,6,6,3,5,1,5,3,2,4,6,8,7,6,5,4,5,5,3,"continued",7,7,6,6,5,3,5,4,1,"continued",6,8,6,5,5,5,5,3,3,"adjusted",4,NA,1.83333333333333,2,2.16666666666667,"F3",FALSE,TRUE,5,3,"adjusted",2
"A1Z2ZGPJRGG0G3",3,1,NA,"recurrance",5,6,3,7,2,1,7,8,4,1,1,6,4,1,7,4,5,5,1,6,6,"continued",2,4,4,1,2,6,1,2,6,"adjusted",2,8,6,4,2,0,2,2,3,"continued",4,NA,1.66666666666667,3.66666666666667,3.16666666666667,"F3",FALSE,TRUE,0,3,"continued",1
"A1Z2ZGPJRGG0G3",3,2,NA,"recurrance",5,5,3,4,4,2,6,2,3,6,3,6,2,4,2,2,1,1,1,5,3,"continued",2,4,1,1,4,6,4,6,6,"adjusted",1,4,1,1,1,NA,4,4,NA,"continued",1,NA,3.5,2.33333333333333,3.66666666666667,"F3",FALSE,NA,NA,NA,"continued",1
"A286W816CMIZL9",3,3,NA,"recurrance",7,2,2,4,7,3,5,5,1,7,5,5,5,5,3,3,2,3,3,3,2,"adjusted",2,5,2,2,5,2,1,4,1,"abandoned",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",3.66666666666667,3.16666666666667,NA,"F2",FALSE,NA,2,1,"abandoned",1
"A2ASTDMWBCFIP0",2,1,"three_month","short-term",1,4,2,6,4,2,5,3,5,4,6,6,6,2,4,4,5,3,6,4,4,"continued",4,5,4,4,5,5,6,5,4,"continued",4,5,4,4,5,5,6,4,4,"adjusted",4,NA,2.66666666666667,3,3.66666666666667,"F3",FALSE,TRUE,5,4,"adjusted",2
"A2ESBX4C2Q6TQY",5,1,"in_weeks","short-term",0,4,5,7,6,3,7,2,6,7,7,7,7,7,3,1,1,0,5,7,1,"continued",2,7,1,2,1,1,5,7,1,"continued",3,6,2,2,5,1,7,2,1,"adjusted",4,NA,2.83333333333333,3.16666666666667,3,"F3",FALSE,TRUE,1,1,"adjusted",2
"A2ESBX4C2Q6TQY",5,3,NA,"long-term",1,1,5,7,2,3,6,3,7,7,6,7,5,4,6,3,1,3,6,7,3,"continued",3,1,4,4,2,5,6,7,3,"continued",4,5,3,3,1,3,7,7,2,"adjusted",4,NA,2,2.5,3,"F3",FALSE,TRUE,3,2,"adjusted",2
"A2HQMB1GSEADL",5,4,NA,"recurrance",2,1,13,4,4,3,5,2,6,6,3,6,3,4,1,NA,2,0,2,4,4,"continued",2,4,5,4,5,8,1,6,5,"continued",2,4,3,3,3,6,5,5,4,"adjusted",3,NA,3,2.5,3.16666666666667,"F3",FALSE,TRUE,6,4,"adjusted",2
"A2IJEKMVEHQ90W",5,3,NA,"recurrance",1,1,2,2,4,3,3,1,1,5,1,6,1,8,4,3,4,2,1,5,2,"continued",4,5,3,5,3,2,2,3,3,"adjusted",4,4,7,5,5,8,3,5,6,"continued",7,NA,2.16666666666667,4.16666666666667,4,"F3",FALSE,TRUE,8,6,"continued",1
"A2O2Q0LVWOWJ1G",4,3,"in_weeks","short-term",0,1,4,7,1,3,5,3,1,7,7,6,6,5,3,2,3,3,1,5,3,"continued",2,5,3,3,5,0,1,2,1,"adjusted",3,6,1,1,3,0,1,5,1,"abandoned",4,"F3",3,4.16666666666667,4.33333333333333,"F3",FALSE,TRUE,0,1,"abandoned",1
"A2VGEE0ZIZ8CBQ",3,1,NA,"recurrance",6,4,3,7,5,2,7,2,7,3,7,7,4,5,4,5,5,5,6,5,3,"adjusted",3,1,7,7,7,10,5,7,7,"continued",6,4,7,7,7,10,3,7,7,"continued",4,NA,2.5,1.5,1.83333333333333,"F3",FALSE,TRUE,10,7,"continued",1
"A2VNSNAN1LZBAM",3,1,NA,"long-term",3,5,3,7,7,3,5,3,5,4,7,6,6,1,6,5,5,7,5,6,5,"continued",7,7,6,4,7,3,5,7,3,"continued",7,7,4,4,5,7,6,7,3,"adjusted",5,NA,2.5,2.33333333333333,2.66666666666667,"F3",FALSE,TRUE,7,3,"adjusted",2
"A2YVAWO75X8R78",5,5,NA,"recurrance",1,1,8,4,3,2,5,5,2,7,5,5,4,5,3,4,3,5,4,5,3,"continued",4,5,2,2,5,2,3,6,2,"adjusted",3,8,1,2,3,2,4,5,1,"abandoned",2,"F3",2.5,3.83333333333333,3,"F3",FALSE,TRUE,2,1,"abandoned",1
"A2ZGAH6NOSU2PO",5,3,NA,"long-term",0,1,6,6,6,3,5,1,6,7,7,7,6,8,2,4,3,2,4,6,2,"adjusted",6,6,3,3,5,NA,3,7,NA,"continued",6,5,2,2,7,NA,3,7,NA,"continued",4,NA,3.5,3.5,4.33333333333333,"F3",FALSE,NA,NA,NA,"continued",1
"A350SLJRMBIFM4",4,2,NA,"long-term",1,2,4,6,4,3,5,1,3,6,5,6,5,4,4,6,5,4,1,4,3,"adjusted",5,4,4,5,5,5,1,2,2,"abandoned",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",2,3,NA,"F2",FALSE,NA,5,2,"abandoned",1
"A351LMMMFYPM7U",5,4,NA,"long-term",1,4,5,4,5,1,4,4,1,3,5,5,4,8,3,2,4,3,3,4,3,"continued",2,4,4,4,4,4,3,5,4,"adjusted",3,3,4,3,5,5,2,5,5,"continued",2,NA,2,2,1.5,"F3",FALSE,TRUE,5,5,"continued",1
"A37PUSY6CJ7TQ0",5,1,"next_month","short-term",0,4,6,6,5,3,6,4,4,4,4,7,4,3,5,5,6,8,1,6,5,"continued",5,2,4,3,5,6,1,7,5,"adjusted",3,1,7,5,6,NA,4,6,NA,"continued",4,NA,2,2,1.66666666666667,"F3",FALSE,NA,NA,NA,"continued",1
"A37PUSY6CJ7TQ0",5,4,"three_month","short-term",0,5,6,3,3,1,4,5,4,4,3,5,3,4,4,3,4,5,2,6,3,"continued",4,8,2,3,3,3,2,6,2,"adjusted",2,3,4,3,3,NA,5,5,NA,"continued",3,NA,2.16666666666667,3.16666666666667,2,"F3",FALSE,NA,NA,NA,"continued",1
"A3989GRV3UV5VW",3,2,NA,"long-term",1,2,3,7,6,1,6,2,7,3,5,7,6,8,3,3,6,2,5,6,3,"adjusted",3,1,7,7,7,NA,4,7,NA,"continued",7,1,7,7,1,NA,2,7,NA,"continued",7,NA,2.83333333333333,1.5,1.5,"F3",FALSE,NA,NA,NA,"continued",1
"A3BE3KXD518TZ4",3,3,NA,"long-term",8,5,3,7,4,1,5,1,7,4,7,7,5,5,4,2,3,1,4,5,2,"continued",3,5,3,2,2,3,4,3,3,"continued",2,6,3,3,2,2,5,3,2,"adjusted",2,NA,2.83333333333333,3.16666666666667,3.66666666666667,"F3",FALSE,TRUE,2,2,"adjusted",2
"A3EXD5E390Z6B3",3,1,NA,"recurrance",5,4,3,5,7,3,6,1,5,4,3,7,3,5,4,4,5,5,2,3,3,"adjusted",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83333333333333,NA,NA,NA,TRUE,NA,NA,NA,NA,1
"A3GZXU4FUJTKZD",5,2,"two_month","short-term",1,4,40,6,3,2,2,3,2,4,6,4,4,2,6,2,4,1,4,5,4,"continued",6,8,2,2,2,0,2,4,2,"adjusted",3,8,2,2,3,2,1,3,1,"continued",4,NA,2,3,3.33333333333333,"F3",FALSE,TRUE,2,1,"continued",1
"A3GZXU4FUJTKZD",5,3,NA,"long-term",0,1,40,5,5,3,2,1,2,6,6,6,5,5,4,1,1,0,1,5,1,"continued",6,7,2,2,2,0,5,5,1,"adjusted",4,7,2,1,2,NA,1,4,NA,"continued",2,NA,3.33333333333333,3,3.33333333333333,"F3",FALSE,NA,NA,NA,"continued",1
"A3GZXU4FUJTKZD",5,4,"three_month","short-term",1,4,40,4,2,1,4,3,5,3,3,6,2,8,2,2,4,1,1,5,1,"continued",5,8,3,2,3,0,5,4,1,"adjusted",2,8,2,1,3,NA,4,5,NA,"continued",3,NA,3.16666666666667,2.16666666666667,2.83333333333333,"F3",FALSE,NA,NA,NA,"continued",1
"A3GZXU4FUJTKZD",5,5,"three_month","short-term",0,1,40,3,1,2,1,1,5,6,5,4,3,5,2,1,1,0,1,7,1,"continued",2,6,2,1,1,0,1,5,1,"adjusted",1,6,1,1,1,0,1,5,1,"continued",2,NA,3.16666666666667,2.66666666666667,3.16666666666667,"F3",FALSE,TRUE,0,1,"continued",1
"A3KIDRWRKC7RI5",5,2,"three_month","short-term",3,3,5,6,4,1,6,3,4,3,4,7,5,4,6,7,6,3,1,7,6,"continued",6,4,6,7,7,9,1,7,6,"continued",6,8,4,4,4,5,1,6,4,"adjusted",4,NA,2,2.33333333333333,2.16666666666667,"F3",FALSE,TRUE,5,4,"adjusted",2
"A3KIDRWRKC7RI5",5,3,NA,"recurrance",2,2,5,5,5,3,5,1,7,5,5,5,5,4,4,4,5,8,4,7,5,"continued",6,5,4,4,4,6,1,7,4,"adjusted",3,4,6,5,7,9,3,7,6,"continued",5,NA,2.33333333333333,2.83333333333333,1.83333333333333,"F3",FALSE,TRUE,9,6,"continued",1
"A3KIDRWRKC7RI5",5,5,NA,"recurrance",0,2,5,4,3,1,5,2,4,6,5,5,7,8,3,2,3,5,1,4,3,"adjusted",2,8,3,2,4,5,1,5,3,"continued",2,8,2,2,3,1,1,4,1,"continued",1,NA,3,3.5,3.33333333333333,"F3",FALSE,TRUE,1,1,"continued",1
"A3NKNOE5HIXXL",3,1,"two_month","short-term",8,6,2,7,7,1,7,1,6,7,7,6,7,2,3,4,4,4,5,4,3,"continued",2,8,3,3,5,9,1,2,5,"adjusted",3,1,7,4,5,NA,4,6,NA,"continued",5,NA,1.16666666666667,2.16666666666667,2,"F3",FALSE,NA,NA,NA,"continued",1
"A3NKNOE5HIXXL",3,3,NA,"long-term",0,4,2,4,7,3,5,4,4,7,5,6,5,5,3,2,3,3,5,5,3,"adjusted",2,6,4,3,3,NA,2,5,NA,"continued",3,4,4,4,3,NA,7,5,NA,"continued",5,NA,2.16666666666667,1.83333333333333,2.5,"F3",FALSE,NA,NA,NA,"continued",1
"A3OAXRZT3MVJML",3,2,"three_month","short-term",5,4,2,5,4,1,5,5,2,3,4,5,4,4,3,3,4,2,1,5,3,"continued",3,4,1,1,4,1,2,2,2,"adjusted",1,2,6,6,6,NA,2,5,NA,"continued",6,NA,2.66666666666667,3.33333333333333,2.66666666666667,"F3",FALSE,NA,NA,NA,"continued",1
"A3OLRWACCCCUTU",5,1,"two_month","short-term",5,5,6,7,7,1,7,3,7,2,7,7,6,4,3,3,1,1,3,3,4,"adjusted",3,4,7,6,7,9,6,7,7,"continued",6,4,7,6,7,10,6,7,7,"completed",7,"F3",2.5,2,1.5,"F3",FALSE,TRUE,10,7,"completed",1
"A3OLRWACCCCUTU",5,5,"in_weeks","short-term",2,4,6,7,5,1,7,3,7,1,7,7,7,4,1,1,1,5,4,7,7,"adjusted",1,4,1,1,4,11,4,4,7,"completed",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F2",2.16666666666667,1.5,NA,"F2",FALSE,NA,11,7,"completed",1
"A3OPRR8AXT6OSJ",3,1,NA,"recurrance",3,3,3,7,5,1,5,3,4,2,6,6,6,3,5,6,6,7,3,5,5,"continued",5,4,5,4,6,7,2,6,5,"continued",4,4,5,4,5,4,2,5,3,"adjusted",6,NA,2.5,2.16666666666667,3.66666666666667,"F3",FALSE,TRUE,4,3,"adjusted",2
"A3ROYUO9LWA22S",5,2,"two_month","short-term",5,6,5,7,4,1,7,4,4,1,7,7,7,1,7,7,7,8,3,7,7,"continued",7,2,7,4,5,6,4,3,3,"continued",7,5,6,4,4,5,3,3,3,"adjusted",4,NA,1.66666666666667,2.16666666666667,2,"F3",FALSE,TRUE,5,3,"adjusted",2
"A49CVVOWN4D6Y",5,1,NA,"long-term",4,1,4,5,4,3,4,2,4,3,5,4,6,4,1,2,3,1,1,4,2,"adjusted",1,4,5,6,6,2,1,4,4,"continued",7,8,4,4,3,3,5,3,2,"continued",6,NA,3.83333333333333,2.5,2.83333333333333,"F3",FALSE,TRUE,3,2,"continued",1
"A5A14MTB35J23",5,1,NA,"recurrance",5,3,6,7,7,1,6,4,5,2,2,7,6,8,4,4,6,6,4,5,3,"continued",3,7,2,2,2,2,2,6,2,"continued",2,7,3,3,6,3,2,6,2,"adjusted",2,NA,3.5,3.33333333333333,3,"F3",FALSE,TRUE,3,2,"adjusted",2
"A7P3R1AIA4TVV",3,2,NA,"long-term",1,2,3,4,3,3,5,2,4,4,4,4,4,8,3,3,4,4,2,4,2,"continued",2,5,3,3,3,3,4,5,2,"continued",2,8,4,4,4,3,3,3,2,"adjusted",4,NA,2.16666666666667,3,3.33333333333333,"F3",FALSE,TRUE,3,2,"adjusted",2
"AJDHPRCJ985C7",5,2,NA,"recurrance",4,2,4,5,3,2,7,2,7,5,3,6,6,6,5,4,3,6,2,6,3,"continued",6,4,7,6,7,8,7,6,5,"continued",6,2,7,4,6,8,6,3,4,"adjusted",7,NA,2.16666666666667,1.83333333333333,1.66666666666667,"F3",FALSE,TRUE,8,4,"adjusted",2
"AKX5RHHO8BIUX",5,3,"two_month","short-term",0,4,5,6,2,1,6,3,2,4,6,6,4,7,2,1,1,1,1,5,1,"continued",2,6,2,2,3,1,1,6,1,"continued",2,5,2,1,1,1,1,6,1,"adjusted",1,NA,3.16666666666667,2.83333333333333,2.33333333333333,"F3",FALSE,TRUE,1,1,"adjusted",2
"AQMLJYUQCSG22",3,1,NA,"recurrance",1,2,3,6,6,2,5,2,5,5,4,6,3,5,2,2,5,1,2,4,1,"continued",1,7,4,4,5,3,3,6,3,"continued",3,1,4,5,5,4,5,5,4,"adjusted",3,NA,2.16666666666667,1.66666666666667,2.16666666666667,"F3",FALSE,TRUE,4,4,"adjusted",2
"AQMLJYUQCSG22",3,3,"in_weeks","short-term",6,6,3,3,2,1,2,5,5,2,1,7,1,7,3,1,4,2,3,6,2,"continued",1,8,1,1,3,1,2,5,1,"adjusted",1,5,2,1,2,NA,1,3,NA,"continued",1,NA,2.16666666666667,2.5,2.33333333333333,"F3",FALSE,NA,NA,NA,"continued",1
"AU34T9OMHN4Z4",3,2,NA,"recurrance",7,5,6,7,7,3,7,2,7,5,7,7,7,2,4,5,7,7,7,7,5,"continued",5,6,3,2,7,6,5,4,1,"continued",3,6,2,2,7,3,7,5,1,"adjusted",1,NA,2.33333333333333,3.83333333333333,4.33333333333333,"F3",FALSE,TRUE,3,1,"adjusted",2
"AU34T9OMHN4Z4",3,3,NA,"long-term",1,4,6,7,7,3,7,1,7,4,7,5,3,5,2,2,5,0,7,5,1,"continued",1,6,2,2,7,1,5,7,1,"continued",2,6,2,2,5,2,7,4,1,"adjusted",4,NA,4.33333333333333,3.5,3.33333333333333,"F3",FALSE,TRUE,2,1,"adjusted",2
"AVKMFV9CZ0MLR",5,1,NA,"recurrance",1,2,5,7,7,3,7,5,7,4,7,7,7,1,7,7,7,10,1,7,7,"continued",7,4,6,6,6,5,4,6,6,"continued",6,2,6,6,6,8,4,7,6,"adjusted",6,NA,1.5,2.33333333333333,2.33333333333333,"F3",FALSE,TRUE,8,6,"adjusted",2
"AVKMFV9CZ0MLR",5,2,NA,"recurrance",2,2,5,7,7,3,7,3,7,4,7,7,7,1,7,7,7,10,1,7,7,"continued",7,4,6,6,6,5,4,6,6,"continued",6,2,6,6,7,11,4,6,7,"adjusted",6,NA,1.5,2.33333333333333,2.33333333333333,"F3",FALSE,TRUE,11,7,"adjusted",2
"AWVLT2L5AP873",3,2,NA,"recurrance",9,7,3,7,7,1,7,4,6,1,6,6,1,1,7,5,7,11,7,7,7,"continued",4,1,7,6,7,11,7,7,7,"adjusted",4,1,7,7,7,11,6,7,7,"continued",7,NA,1.66666666666667,1.66666666666667,1.66666666666667,"F3",FALSE,TRUE,11,7,"continued",1
"AWVLT2L5AP873",3,3,NA,"recurrance",6,3,3,5,5,3,5,3,4,5,7,7,6,2,6,7,5,9,2,7,6,"continued",7,4,7,3,7,11,2,7,7,"adjusted",2,8,4,4,3,4,3,4,1,"continued",3,NA,1.83333333333333,1.66666666666667,2,"F3",FALSE,TRUE,4,1,"continued",1
"AY4E4CDN0J6JL",4,2,NA,"recurrance",1,1,4,6,4,3,3,1,7,6,5,7,7,1,7,7,7,9,7,7,7,"continued",7,8,3,3,3,6,7,5,2,"adjusted",4,1,7,6,7,NA,5,7,NA,"continued",5,NA,1.66666666666667,3.33333333333333,2.33333333333333,"F3",FALSE,NA,NA,NA,"continued",1
"AYNDATHZBJZ6E",3,1,NA,"recurrance",1,1,3,7,4,3,6,1,5,6,7,7,7,8,4,2,3,1,1,7,1,"continued",7,8,2,2,2,0,1,4,1,"adjusted",4,8,2,2,3,NA,2,5,NA,"continued",4,NA,2.83333333333333,3,2.5,"F3",FALSE,NA,NA,NA,"continued",1
